tweet_id,twitter_handle,tweet_text,iata_airline,like_count,created_at
1570655261064568832,Rosanna36501750,@British_Airways I've sent several tweets with no response. Did  Wednesday (14/09 ) have air restrictions imposed by the CAA or were flights cancelled/delayed by mutual choice btwn airport &amp; airline?@HeathrowAirport . I've read the CAA air restrictions,BA,1,2022-09-16 06:06:10+00:00
1570368692160204801,Brinkhoff_C,"Just had the worst flying experience w/@British_Airways. 3 flights cancelled, hotel promises, nobody at the check-in to help, customer service closed to get help or phone waiting lines of more than 60 minutes. Never this airline again. Stuck in Boston now. https://t.co/imcbQVLidT",BA,13,2022-09-15 11:07:26+00:00
1570239164788146177,DaraSchopp,"@qatarairways @British_Airways (6) How can you say you have a rewards program when people cannot redeem their rewards in any shape or fashion? @jetblue, @delta, @emirates and other airlines have proper rewards programs where you can book any flight with points.",QR,0,2022-09-15 02:32:45+00:00
1570132993104314369,DansAFCB,"Very disappointed @British_Airways for not mentioning the Queen or making any sort of reference to her death on a recent flight! The airline of Britain, shame on you!!!! A minutes silence wouldn't have hurt, I guess it's incase other get offended
#QueenElizabeth #QueenElizabethII",BA,1,2022-09-14 19:30:51+00:00
1570097431739506691,iansmith85,Absolutely fiasco from @British_Airways who decided to leave half the cases at Heathrow on the 0740 flight to Bologna and their website for tracking lost luggage is unable to update or save information. Absolutely disgusted with the nation’s favourite airline 🤬,BA,2,2022-09-14 17:09:33+00:00
1569645320862064647,beanie_annie,@British_Airways Hello there. Could you please tell me whether I need to comply with the baggage regulations (eg suitcase dimensions) of BA or American Airlines if I'm booked on a BA flight described as 'operated by American Airlines'? Thank you.,BA,0,2022-09-13 11:13:01+00:00
1569643932740653058,JonoMMatthews,"@MKcol @British_Airways Yes, that's the scam. The fare includes a seat on that connecting flight. If you can make it to the connecting airport (eg via another airline, or even driving -- note the 6hr layover), that seat should still be yours! What a greedy and inflexible business practice.",BA,0,2022-09-13 11:07:30+00:00
1569335557267902465,superMedSec,"@British_Airways oh how the mighty have fallen! STILL haven’t rec’d a peep re my canc flight in May. No reimbursement. Nothing. Can your website be navigated to find someone to help? NO! Not only was the flight canc when other airlines flew, NO GROUND STAFF to advise or direct!",BA,0,2022-09-12 14:42:08+00:00
1569091413916401666,pluggyboy1985,@AerLingus no Wi-Fi or in flight entertainment on our flight now nearly 72 hours without luggage not a good experience at all so far will be using @British_Airways again the next time we travel to the us @nikkiayr and no communication at all from this airline at all disgusting,BA,2,2022-09-11 22:32:00+00:00
1567828228038971392,ClaimDelay,"No. of delays by Airline 7/9/22

@easyJet 29
@TUIUK 10
@wizzair 10
@British_Airways 10
@Ryanair 6

Did you have a flight delay of over 3 hours or a cancellation? Claim today on a no win no fee basis: https://t.co/SkDuH6UYCP

#travel #flights #holidays",BA,0,2022-09-08 10:52:33+00:00
1567397465648762880,LeannanSaoirse,"@DrMarkSampson @Flight_Refunds @British_Airways We all would. We'd all have preferred not to have a novel pandemic hit the planet. A German airline cancelled 800 flights last week. Maybe follow the news on Twitter and always have a ""Plane B""? Or take a train? Not going to be fixed for a while.",BA,1,2022-09-07 06:20:51+00:00
1565994707917963265,KJLZoop,"@JSS779 @British_Airways That's Crazy, BA have less flights to oversee and manage now.

Presumably there's no  one at all in Glasgow who could have made 12 or so business class breakfasts.

My airline we'd give a voucher at checking to get breakfast in the terminal before the flight",BA,0,2022-09-03 09:26:47+00:00
1565625747099762690,The_Papster,"@British_Airways I feel like we’ve all been victim of either one of your cancelled or severely delayed flights by now. I’ve been seeking compensation for a 7 hour delayed short haul flight since August 15th, and you’ve not even responded. #worstairline #britishairways #airline",BA,3,2022-09-02 09:00:40+00:00
1565446778685689858,DrMHush1,If my @British_Airways flight is (since time of booking) operated by Iberia am I expected to adhere to the (inferior) baggage allowance of the latter or does my original allowance of the airline I booked with apply? The flight numbers are BA ….,BA,1,2022-09-01 21:09:31+00:00
1564911120275722241,annakotsonouris,@British_Airways Booked to fly with you from MAN to EWR in November are we on a BA flight from Heathrow to Newark or an American Airlines flight?,BA,0,2022-08-31 09:41:00+00:00
1564442128293384192,DinaManikandan,"Due to the @British_Airways flight delay of 4 hours in Chennai, BA changed my connecting flights to Toronto. By flying to Montreal and then to Toronto by @AirCanada which led to baggage losses in Montreal or Toronto. It's been more than 50 hours and but response from both airline",BA,2,2022-08-30 02:37:23+00:00
1563471583410147331,FH94094426,"@British_Airways if I book an American Airlines flight on the BA website who do I contact if there any issues with the flight eg flight cancellation, lost luggage? Would BA or AA be responsible for this support?",BA,0,2022-08-27 10:20:48+00:00
1563238540204331011,payexel,"@British_Airways can I book a seat on check in or can I book one now? Booked through another airline but the flight is operated by yourselves so they've directed me to you, tried to do it online but it won't let me.",BA,0,2022-08-26 18:54:46+00:00
1562884939770888199,mattd8b,"@British_Airways Pointless advice.
Better advice is DO NOT fly B.A. 
They will not provide advice or help when they cancel or delay flights
They will fail to refund or assist even when they are at fault.
Better advice ... Choose another airline.",BA,1,2022-08-25 19:29:41+00:00
1562780743482281986,Arin_life0107,@DN22_White @Flight_Refunds @British_Airways This is their dirty trick to avoid issuing refund or face customers for their own fault. They r just tiring out the customers so that they stop following up. Its really disappointing to get such behaviour from such a so called reputable airlines,BA,4,2022-08-25 12:35:38+00:00
1562770393156681730,dodgydo,@British_Airways so you cancel flight ruining holiday &amp; now “offer”third of the cost in refund! I want full refund &amp; nothing less. No wonder people r leaving BA in droves for other airlines! I don’t want to speak with India - are u a British airline or what?,BA,1,2022-08-25 11:54:31+00:00
1562211661800423424,Chigo_t,"@British_Airways Hello- you wrote to me on 5 May 2022 telling me that my refund for a cancelled flight BA519 on 20 Feb from LIS to LHR, would be paid in 14 days or a cheque sent. Its 23 August 2022 and you still havent paid it. What on earth is going on with this airline?!?",BA,1,2022-08-23 22:54:19+00:00
1561983495748161540,bepipezzulli,"✈️ @British_Airways has admitted that travel chaos will last until March, as the airline cancelled another 10,000 flights in a blow to passengers seeking skiing holidays or winter sun 🤬",BA,1,2022-08-23 07:47:40+00:00
1561979356662050817,shantanu_sanyal,"@srinivasanravi @Saudi_Airlines @ksagaca @KSAembassyIND @IAG @British_Airways Well with direct flights or premier ones very expensive,it's always a risk booking on cheaper ones",BA,0,2022-08-23 07:31:13+00:00
1561836221978099713,ajfroberts,@British_Airways @patriotennr1 Pls can you respond to requests for a way forward - ignoring it won’t make it or us go away - how can someone get an update on a flight compensation claim ? I find it hard to believe the ‘worlds favourite airline’ has lost its voice ?,BA,0,2022-08-22 22:02:27+00:00
1561713300089540611,PinophytaEd,@tompeck @British_Airways Probably not a lawsuit seeing as there are worthwhile uses of Avios outside of BA… Qatar/Iberia airlines + it’s worth outside of airlines - 0.8p per point in Nectar for Sainsbury’s or 1.66p per point in caffe nero… I just wish they’d sort out their own actual flights though.,BA,0,2022-08-22 13:54:00+00:00
1560922195970461697,Cassid20Vincent,@LionelNierop @Flight_Refunds @British_Airways sir if you would be so kind as to send me a ABC heads up how the small claims process is done ✔ ov course if you have the time if you dont that's fine 2 because I'm not having it one way or the other theese lame ass airlines need to know the gravy train is OVER ! 🤠🙏😘 https://t.co/cFEC5SBiYl,BA,0,2022-08-20 09:30:26+00:00
1560767192320319488,TheRealSmi,"@Mbee1980 @medblr_td @pboopyboops @taylorhickson @CasablancasOlga @vueling @British_Airways Im reading up on flight rights. So far it says if Taylor cancels the flight instead of the airline cancelling it, she’s entitled to a full refund and can then rebook on a diff flight or have her ticket transferred to a diff airline",BA,1,2022-08-19 23:14:30+00:00
1559169069026349057,BrusselsAirport,"@eldemani111 @British_Airways @etihad Dear, we regret reading this. For all questions regarding your lost bags, it is best to contact your airline or their handling agent, if you send us the flight details by private message, we will gladly give you the correct contact details. *Elisabeth",BA,0,2022-08-15 13:24:08+00:00
1557634842602389505,ClaimDelay,"No. of delays by Airline 10/8/22

@lufthansa 30
@Ryanair 12
@British_Airways 12
@easyJet 10

Did you fly with one of these airlines? If your flight was delayed or cancelled then you may have a claim:
https://t.co/SkDuH6UYCP",BA,0,2022-08-11 07:47:40+00:00
1556673023532584961,dayami111,I am utterly disappointed with this airline @British_Airways. It is becoming as treacherous as @Ryanair or @easyJet. They told me my flight was oversold and also did not allow me to check my bags even when the website says the opposite. I had to pay extra despite my loyalty.,BA,0,2022-08-08 16:05:45+00:00
1556281393277452288,lawyerchronicle,"@British_Airways Not travelling again on BA. Long chekin &amp; security queues. The worst on board service with serving only water &amp; pack of crisp on 4 hour flight to Turkey. While if you travel on Turkish, Emirates or another airline they serve good even with a 1.30 hrs flight.",BA,0,2022-08-07 14:09:33+00:00
1555706669233053699,ravithejahr,@qatarairways . Horrible customer service from so called best airlines . Baggage delayed for 3 hours at Chicago made me to miss my connecting flight . No one from qatar airways supported to rebook tickets both in airport or customer service(1/2),QR,2,2022-08-06 00:05:48+00:00
1555628061726572550,shinglekicker,"@British_Airways Talking to friend today - tried to book with you for trip abroad. Apparently no flights available or BA not taking bookings.
So it would seem that the checklist is fine as long as the flight is with another airline.",BA,1,2022-08-05 18:53:26+00:00
